name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
"""GE-23 (AMC-23, Worldsat 3, Americom 23)""",USA,SAT-GE,Commercial,Communications,GEO,,2005-12-29,16,"""Hybrid C/Ku-band satellite. 20 Ku-band, 18 C-band transponders. Broadcast, Internet, business; Ku-band tailored to broadband for Boeing Connexion; Pacific region.""",172.06,"""35,772""","""35,799""",0.00032,0.01,1436.1
Satmex 4 (Solidaridad 2),Mexico,Satellites Mexicanos S.A. de C.V. (SatMex; Loral Global Alliance),Commercial,Communications,GEO,,1994-10-08,14,"""18 C-band, 16 Ku-band; coverage of national territory with television, radio and telephony signals; launched by Mexican Secretaria de Comunicaciones y Transportes, later privatized and taken over by Satlelites Mexicanos S.A. de C.V.""",-114.9,"""35,777""","""35,794""",0.000202,0.74,1436.08
Satmex 5 ,Mexico,Satellites Mexicanos S.A. de C.V. (SatMex; Loral Global Alliance),Commercial,Communications,GEO,,1998-12-05,15,"""24 C-band, 24 Ku-band; Internet, voice and data, analogical and digital television and multimedia; Mexico sent more than 10 engineers to work on the satellite at Hughes.""",-116.77,"""35,779""","""35,792""",0.000154,0.02,1436.08
Satmex 6,Mexico,Satellites Mexicanos S.A. de C.V. (SatMex; Loral Global Alliance),Commercial,Communications,GEO,,2006-05-27,15,"""36 C-band, 24 Ku-band; CONUS, NAFTA, South America, Hawaii, Caribbean""",-112.98,"""35,776""","""35,796""",0.000237,0.03,1436.1
EduSAT,Italy,School of Aerospace Engineering - University of Rome,Civil,Technology Development,LEO,Sun-Synchronous,2011-08-17,,"""Built by Aerospace school, University of Rome.""",0,648,704,0.00397,98.3,98.1
TISat-1 (Ticano Satellite),Switzerland,Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative ,Civil,Technology Development,LEO,Sun-Synchronous,2010-07-12,,Commercial Off the Shelf (COTS) components wherever possible.,0,618,640,0.00157,98.16,97.29
Astra 1C ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1993-05-12,15,16 Ku-band transponders; 48 channels; broadcast and broadband multimedia services; continental Europe.,2.02,"""35,771""","""35,801""",0.000356,2.09,1436.08
Astra 1D ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1994-11-01,15,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,31.2,"""35,776""","""35,795""",0.000225,1.15,1436.08
Astra 1E ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1995-10-19,14,"""54 to 108 digital TV programs to W. Europe; 18 Ku-band transponders; backup for 1B, 1C or 1D""",23.47,"""35,774""","""35,799""",0.000297,0.04,1436.13
Astra 1F ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1996-04-18,15,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.,19.22,"""35,778""","""35,797""",0.000225,0.03,1436.15
"""AMC-1 (Americom 1, GE-1)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1996-09-08,15,"""Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean""",-103.02,"""35,772""","""35,800""",0.000332,0.03,1436.1
"""AMC-2 (Americom 2, GE-2)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1997-01-30,15,"""Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band""",-100.98,"""35,774""","""35,798""",0.000285,0.05,1436.1
"""AMC-3 (Americom 3, GE-3)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1997-09-04,15,"""Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band""",-86.96,"""35,777""","""35,795""",0.000213,0.02,1436.08
Astra 1G ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1997-12-02,15,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,19.24,"""35,780""","""35,791""",0.00013,0.04,1436.08
Astra 2A ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1998-08-30,15,"""Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.""",28.16,"""35,776""","""35,797""",0.000249,0.08,1436.12
"""AMC-5 (Americom-5, GE-5)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1998-10-28,15,"""Broadband internet, business television; 16 Ku-band; CONUS""",-78.93,"""35,777""","""35,796""",0.000225,0.03,1436.1
Astra 1H ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1999-06-18,15,"""Direct-to-home tv; multimedia; broadcasting; 32 Ku-band for first five years, 28 after; Europe.""",19.2,"""35,776""","""35,794""",0.000213,0.06,1436.04
"""AMC-4 (Americom-4, GE-4)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,1999-11-13,15,"""Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band""",-100.99,"""35,781""","""35,791""",0.000119,0.01,1436.1
Astra 2B ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2000-09-14,14,"""Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.""",28.22,"""35,772""","""35,801""",0.000344,0.07,1436.11
"""AMC-7 (Americom-7, GE-7)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2000-09-14,15,"""Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean""",-136.94,"""35,773""","""35,798""",0.000297,0.01,1436.08
"""NSS-11 (Worldsat-1, AAP-1, GE-1A) """,Netherlands,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2000-10-02,15,"""Direct-to-home voice, video and data transmission in India, China and Philippines; 24 C-band, 24 Ku-band transponders.""",108.21,"""35,776""","""35,798""",0.000261,0.07,1436.15
"""AMC-6 (Americom-6, GE-6)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2000-10-22,15,"""Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America""",-71.98,"""35,778""","""35,795""",0.000202,0.05,1436.12
"""AMC-8 (Americom-8, GE-8, Aurora 3)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2000-12-19,15,"""Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean""",-139,"""35,773""","""35,798""",0.000297,0.03,1436.07
Astra 2D,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2000-12-19,15,"""Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.""",28.14,"""35,770""","""35,802""",0.00038,0.07,1436.1
Astra 2C ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2001-06-16,15,"""Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe""",28.21,"""35,768""","""35,804""",0.000427,0.07,1436.12
Astra 3A ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2002-03-29,10,"""20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.""",23.48,"""35,770""","""35,804""",0.000403,0.06,1436.07
NSS-7 ,Netherlands,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2002-04-16,14,"""36 C-band, 36 Ku-band; broadcasting, business services; Europe, Africa, the Middle East, the Americas.""",-21,"""35,775""","""35,798""",0.000273,0.08,1436.12
NSS-6 ,Netherlands,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2002-12-17,,"""Asia, Australia, Africa, Middle East; 50 Ku-band.""",95.04,"""35,776""","""35,797""",0.000249,0.02,1436.12
"""AMC-9 (Americom 9, GE-12)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2003-06-07,15,"""Television programmers, government agencies and enterprise networks; 24 Ku-band; CONUS and Mexico.""",-82.95,"""35,773""","""35,798""",0.000297,0.05,1436.08
"""AMC-10 (Americom-10, GE 10)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2004-02-05,15,24 C-band transponders.,-134.97,"""35,775""","""35,797""",0.000261,0.01,1436.09
"""AMC-11 (Americom-11, GE 11)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2004-05-19,15,24 C-band transponders.,-130.93,"""35,774""","""35,797""",0.000273,0.04,1436.07
AMC-15 (Americom-15),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2004-10-14,15,"""Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.""",-105.04,"""35,777""","""35,795""",0.000213,0.04,1436.08
AMC-16 (Americom-16),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2004-12-17,15,"""Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.""",-84.98,"""35,780""","""35,793""",0.000154,0.02,1436.1
"""NSS-10 (AMC-12, Americom 12, Worldsat 2)""",Netherlands,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2005-02-03,16,72 C-band transponders.,-37.37,"""35,778""","""35,795""",0.000202,0.02,1436.1
Astra 1KR,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2006-04-20,15,32 Ku-band transponders; direct-to-home broadcast services across Europe.,19.16,"""35,766""","""35,807""",0.000486,0.08,1436.1
AMC-18 (Americom 18),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2006-12-08,15,All c-band transponders for North American coverage.,-104.97,"""35,773""","""35,800""",0.00032,0.06,1436.1
Astra 1L,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2007-05-04,15,"""29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.""",19.3,"""35,772""","""35,798""",0.000308,0.05,1436.03
AMC-21 (Americom 21),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2008-08-14,15,"""Television services to the US, Canada, Mexico and Caribbean.""",-124.86,"""35,778""","""35,793""",0.000178,3,1436.1
Astra 1M,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2008-11-05,15,Direct-to-home and HD television.,19.2,"""35,804""","""35,852""",0.000569,0.14,1438.2
NSS-9,Netherlands,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2009-02-11,15,28 C-band transponders for voice and video communication.,183,"""35,784""","""35,792""",0.0000949,0.02,1436.17
NSS-12,Netherlands,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2009-10-29,15,"""48 Ku-band, 40 C-band transponders.""",57,"""35,779""","""35,793""",0.000166,0.06,1436.08
Astra 3B,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2010-05-21,15,"""60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.""",23.5,"""35,768""","""35,806""",0.000451,0.08,1436.11
Astra 1N,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,,2011-08-06,15,Direct-to-home and HD television.,28.2,"""35,715""","""35,780""",0.000772,0.12,1434.1
"""NSS-703 (Intelsat 703, Intelsat 7 F-3)""",Netherlands,SES (Soci_t_ Europ_enne des Satellites (SES))/Intelsat (shared capacity),Commercial,Communications,GEO,,1994-10-06,15,"""Africa, Japan, India, China, Australia; 26 C-band, 10 Ku-band; shared capacity with Intelset.""",-47,"""35,773""","""35,798""",0.000297,0.02,1436.08
"""TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)""",USA,SES Americom (SES [Soci_t_ Europ_enne des Satellites (SES)]),Government/Commercial,Communications,GEO,,1991-08-02,10,"""Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.""",-167.14,"""35,773""","""35,796""",0.000273,9.4,1436.99
Sirius 4 (Astra 4A),Sweden,SES Sirius AB,Commercial,Communications,GEO,,2007-11-17,15,52 Ku-band and 2 Ka-band transponders; service to Europe and sub-Saharan Africa.,4.85,"""35,776""","""35,795""",0.000225,0.04,1436.1
"""SES-7 (Protostar 2, Indostar 2)""",USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2009-05-16,15,"""13 S-band, 27 Ku-band transponders, covers Indonesia, india, Taiwan and the Philippines. Purchased at auction in Dec. 2009 for $185 million.""",108.02,"""35,783""","""35,790""",0.000083,0.03,1436.1
SES-1 (AMC-4R),USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2010-04-24,15,"""24 C-band; 24 Ku-band, CONUS.""",-101,"""35,781""","""35,793""",0.000142,0.05,1436.1
SES-3,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2011-07-15,15,"""24 C-band; 24 Ku-band, CONUS.""",-103,"""35,850""","""35,852""",0.0000237,0.05,1439.41
SES-2,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2011-09-21,15,24 active C-band and 24 Ku-band transponders;  provides comprehensive coverage of North America and the Caribbean. Also features the Commercially Hosted InfraRed Payload (CHIRP) for U.S. Air Force--wide-field of view sensor to validate space-based infrared technologies from geosynchronous orbit.,-87,"""35,778""","""35,798""",0.000237,0.01,1436.19
SES-4,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2012-02-14,15,"""52 C-band; 72 Ku-band, Americas, Europe, Africa and the Middle East. """,-22,"""35,781""","""35,792""",0.00013,0.05,1436.1
QuetzSat-1,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]) -- total capacity leased to subsidiary of EchoStar Corp. ,Commercial,Communications,GEO,,2011-09-29,15,"""High-power communications satellite; coverage of Mexico, North America, and Central America; fully contracted to a subsidiary of EchoStar Corp.; will be used in part by Dish Mexico for Direct-To-Home (DTH) services in Mexico.""",,"""35,774""","""35,798""",0.000285,0.02,1436.09
NSS-5 (Intelsat 803),Netherlands,SES World Skies/Intelsat [SES] (shared capacity),Commercial,Communications,GEO,,1997-09-23,14,"""38 C-band, 6 Ku-band; Pacific Ocean region; shared capacity with Intelset.""",-177,"""35,776""","""35,796""",0.000237,0,1436.08
NSS-806 (Intelsat 806),Netherlands,SES (Soci_t_ Europ_enne des Satellites (SES))/Intelsat (shared capacity),Commercial,Communications,GEO,,1998-02-19,12,"""Latin America; Iberian peninsula, Canary Islands, Western Europe, much of Eastern Europe; 28 C-band, 3 Ku-band; shared capacity with Intelset.""",-40.45,"""35,779""","""35,794""",0.000178,0.03,1436.11
ST-1 (Singapore-Taiwan 1),Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Commercial,Communications,GEO,,1998-08-25,12,"""16 C-band and 14 Ku-Band; Southeast Asia, Middle, Japan""",88.01,"""35,770""","""35,801""",0.000368,0.01,1436.07
ST-2 (Singapore-Taiwan 2),Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Commercial,Communications,GEO,,2011-05-20,15,"""Will replace ST1. Six antennas, 41 Ku-band tarnsponders and 10 C-band transponders.""",87.99,"""35,783""","""35,791""",0.0000949,0.02,1436.12
Sirius 1 (SD Radio 1),USA,Sirius Satellite Radio,Commercial,Communications,Elliptical,,2000-06-30,15,"""Relay music, news, entertainment directly to motorists in the USA; a fourth satellite is stored on the ground for rapid replacement, if necessary.""",0,"""23,783""","""47,100""",0.279,63.3,1418.5
Sirius 2 (SD Radio 2),USA,Sirius Satellite Radio,Commercial,Communications,Elliptical,,2000-09-05,15,"""Relay music, news, entertainment directly to motorists in the USA.""",0,"""12,849""","""47,048""",0.471,63.3,1148.43
Sirius 3 (SD Radio 3),USA,Sirius Satellite Radio,Commercial,Communications,Elliptical,,2000-11-30,15,"""Relay music, news, entertainment directly to motorists in the USA.""",0,"""6,179""","""47,086""",0.62,63.4,994.83
Superbird-C ,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,1997-07-28,10,14 Ku-band; Asia-Pacific region; voice and video communications.,143.97,"""35,781""","""35,792""",0.00013,0.01,1436.12
JCSat 1B (JCSAT 5),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,1997-12-02,12,Ku-band; voice and video communications to Asian Pacific countries and Hawaii.,128.03,"""35,778""","""35,794""",0.00019,0.01,1436.09
"""JCSat 4A (JCSAT 6, Japan Communications Satellite 6)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,1999-02-15,14,"""32 Ku-band; multimedia and Internet access and voice, data and television signals to Japan.""",123.85,"""33,782""","""37,768""",0.0473,0.07,1435.52
Superbird-B2 (Superbird 4),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,2000-02-18,10,"""23 Ku-band, 6 Ka-band; Japan, Okinawa; business communications.""",162.03,"""35,779""","""35,793""",0.000166,0.01,1436.09
"""JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,2000-10-07,15,24 Ku-band; voice and video communications to Japan.,110.1,"""35,784""","""35,789""",0.0000593,0.01,1436.11
"""JCSat 2A (JCSAT 8, Japan Communications Satellite 8)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,2002-03-29,11,"""16 C-band, 16 Ku-band; coverage to Japan< East Asia, Australia and Hawaii.""",154,"""35,788""","""35,794""",0.0000712,0.01,1436.1
N-Star C ,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,2002-07-05,15,Multimedia services.,135.08,"""35,772""","""35,799""",0.00032,0.06,1436.08
"""JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,2006-04-12,12,"""C-band, Ku-band, and S-band transponders.""",132.04,"""35,776""","""35,797""",0.000249,0.01,1436.1
"""JCSat 10 (Japan Communications Satellite 10, JCSat 3A)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,2006-08-11,15,"""30 Ku-band, 12 C-band transponders.""",127.51,"""35,772""","""35,801""",0.000344,1.19,1436.1
Superbird 7 (Superbird C2),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,2008-08-14,15,"""28 Ku-band transponders to provide internet and television services to Japan, East Asia, and the Pacific region.""",143.77,"""35,778""","""35,794""",0.00019,0.12,1436.1
"""JCSat RA (JCSat 12, Japan Communications Satellite 12)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,2009-08-21,15,Backup for other JCSATs.,142.49,"""35,780""","""35,794""",0.000166,0.04,1436.12
Gonets D1-1 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,1996-02-18,,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,0,"""1,400""","""1,413""",0.000836,82.5,113.92
Gonets D1-2,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,1996-02-18,,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,0,"""1,407""","""1,413""",0.000386,82.5,114
Gonets D1-3 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,1996-02-18,,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,0,"""1,409""","""1,416""",0.00045,82.5,114.05
Gonets D1-4 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,1997-02-14,,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,0,"""1,412""","""1,429""",0.00109,82.6,114.23
Gonets D1-5 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,1997-02-14,,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,0,"""1,412""","""1,423""",0.000706,82.6,114.16
Gonets D1-6 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,1997-02-14,,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,0,"""1,412""","""1,415""",0.000193,82.6,114.07
Gonets D1-7,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,2001-12-28,,"""Civilian reconnaissance/communications spacecraft to locate and report natural and man-made environmental disasters; relay messages, same as earlier six Gonets.""",0,"""1,411""","""1,418""",0.00045,82.5,114.1
Gonets D1-9,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,2001-12-28,,"""Civilian reconnaissance/communications spacecraft to locate and report natural and man-made environmental disasters; relay messages, same as earlier six Gonets.""",0,"""1,404""","""1,417""",0.000835,82.5,114.01
RASAT,Turkey,Space Technologies Research Institute,Government,Earth Observation,LEO,Sun-Synchronous,2011-08-17,3,"""Primary objectives are to advance Turkish space technology and know-how and observe natural and manmade disasters, monitor coastline changes and pollution, detect illegal settlements and urban land changes, and update existing maps.""",0,667,699,0.00227,98.2,98.4
Amos 3,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,,2008-04-28,12,"""15 transponders, Ku and Ka bands.""",-3.99,"""35,783""","""35,789""",0.0000712,0.04,1436.1
Amos 5,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,,2011-12-11,15,"""14 C-band, 18 Ku-band.""",17,"""35,595""","""36,007""",0.00488,0.09,1436.08
Spot 4 ,France/Belgium/Sweden,Spot Image,Commercial,Earth Observation,LEO,Sun-Synchronous,1998-03-24,5,"""Earth imaging for cartography, defence, agriculture, identifying cadastral parcels, urban planning, telecommunications, the environment, disaster management and mitigation and renewable resources.""",0,824,825,0.0000695,98.7,101.39
Spot 5,France/Belgium/Sweden,Spot Image,Commercial,Earth Observation,LEO,Sun-Synchronous,2002-05-04,5,"""Earth imaging for cartography, defence, agriculture, identifying cadastral parcels, urban planning, telecommunications, the environment, disaster management and mitigation and renewable resources.""",0,816,818,0.000139,98.7,101.23
SRMSat (Sri Ramaswamy Memorial Satellite),India,SRM University,Civil,Technology Development,LEO,,2011-10-12,1,To build a nanosatellite with a mass less than 10kg; to be launched by PSLV and to estimate the amount for atmospheric greenhouse gases; to provide hands on experience to the student and the faculty of SRM University in building small satellite; to develop a nanosatellite bus.,0,850,868,0.00124,19.97,102.12
Brazilsat B-2 (Brasilsat B-2),Brazil,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Military/Commercial,Communications,GEO,,1995-03-28,12,24 C-band; several X-band.,-92.02,"""35,776""","""35,797""",0.000249,0.84,1436.11
Brazilsat B-3 (Brasilsat B-3),Brazil,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,1998-02-04,12,28 C-band transponders for voice and video communication.,-74.96,"""35,769""","""35,803""",0.000403,0.04,1436.07
Brazilsat B-4 (Brasilsat B-4),Brazil,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2000-08-17,12,28 C-band; voice and video communications to all of South America.,-84.03,"""35,772""","""35,800""",0.000332,0.07,1436.09
Star One C1,Brazil,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2007-11-14,15,"""Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries.""",-64.98,"""35,778""","""35,703""",-0.000891,0.03,1436
Star One C2,Brazil,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2008-04-18,,"""Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries.""",-69.93,"""35,776""","""35,796""",0.000237,0.06,1436.1
"""Haiyang 1B (HY 1B, Ocean 1B)""",China (PR),State Oceanic Administration (SOA),Government,Meteorology,LEO,,2007-04-11,3,Ocean-imaging surveillance satellite.,0,783,813,0.00209,98.6,100.84
Haiyang 2A (HY 2A),China (PR),State Oceanic Administration (SOA),Government,Meteorology,LEO,,2011-08-15,3,Ocean-imaging surveillance satellite.,0,928,943,0.00103,99.4,103.6
Sich 2,Ukraine,State Space Agency of Ukraine (NKAU),Government,Earth Observation,LEO,Sun-Synchronous,2011-08-17,5,Will obtain medium-resolution images of Earth.,0,685,702,0.0012,98.2,98.6
"""SBSS-1 (Space Based Space Surveillance Satellite, SBSS Block 10 SV1, USA 216)""",USA,Strategic Space Command/Space Surveillance Network,Military,Reconnaissance,LEO,,2010-09-26,,Designed to track and detect other spacecraft in orbit.,0,538,541,0.000217,97.99,95.43
Odin ,Sweden,Swedish National Space Board,Government,Astrophysics/Earth Science,LEO,Sun-Synchronous,2001-02-20,2,Originally two scientific disciplines on a single spacecraft in studies of star formation/early solar system (astronomy)  and of the mechanisms behind the depletion of the ozone layer in the earth atmosphere and the effects of global warming (aeronomy); astronomy mission has ended.,0,611,620,0.000644,97.8,97.02
STUDSat (Student Satellite),India,TeamStudSat - Nitte Meenakshi Institute of Technology (ground station),Civil,Technology Development,LEO,Sun-Synchronous,2010-07-12,0.5,"""Perform remote sensing, and capture images of the surface of the earth using it's camera of resolution 90 m; the best resolution hitherto achieved by any pico satellite in the world.""",0,623,638,0.00107,98.16,97.32
Thor-3 ,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,,1998-06-10,12,"""14 Ku-band; Nordic region, central and eastern Europe.""",-4,"""35,777""","""35,795""",0.000213,0.07,1436.07
Thor-5 (Thor 2R),Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,,2008-02-11,15,"""25 Ku-band transponders; direct-to-home and Internet to Scandinavia, eastern Europe, Middle East.""",-0.72,"""35,773""","""35,798""",0.000297,0.01,1436.1
Thor-6,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,,2009-10-29,15,36 Ku-band transponders; Central and eastern Europe and Nordic region.,-1,"""35,779""","""35,794""",0.000178,0.02,1436.1
Thor-2,Norway,Telenor Satellite Broadcasting - leased to SES,Commercial,Communications,GEO,,1997-05-20,12,"""15 Ku-band; Nordic region, northern Europe. Retired at Telenor in 2007, but leased to SES in 2008. Only two operating transponders.""",23.3,"""35,779""","""35,793""",0.000166,0.03,1436.09
TerraStar 1,USA,TerraStar Corporation,Commercial,Communications,GEO,,2009-07-01,15,Largest commercial satellite ever built; 18-meter-diameter unfurlable S-band antenna; provide mobile voice and data communications in North America to smartphone-size handsets.,-111,"""35,783""","""35,791""",0.0000949,5.94,1436.11
